"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","16","Weekday",1,2,"434.0100000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,1,"216.3000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,6,"246.6500000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,7,"52.4000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,3,"488.3800000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,4,"542.0000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,8,"27.9600000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,5,"440.8000000000","High","APC Composite Day"
"Fall 2018","Bus","16","Weekday",1,0,"124.5200000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,2,"169.8000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,1,"90.8700000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,6,"126.2000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,3,"241.0200000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,4,"377.8200000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,5,"373.1200000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",0,0,"47.2400000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,2,"215.5000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,1,"218.3000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,6,"75.2400000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,7,"10.8000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,3,"339.7000000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,4,"295.8400000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,5,"254.2400000000","High","APC Composite Day"
"Fall 2018","Bus","17","Weekday",1,0,"91.8900000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",0,2,"33.1800000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",0,1,"17.5000000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",0,3,"61.3000000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",0,4,"35.3000000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",0,5,"60.5200000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,2,"47.4400000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,1,"10.4000000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,6,"5.6000000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,3,"48.9600000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,4,"36.0900000000","High","APC Composite Day"
"Fall 2018","Bus","18","Weekday",1,5,"27.7500000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,2,"232.3300000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,1,"165.5000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,6,"52.6000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,3,"136.6400000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,4,"603.6000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",0,5,"332.4000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,2,"466.4000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,1,"441.3000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,6,"18.9000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,3,"157.6000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,4,"255.1400000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,5,"216.5000000000","High","APC Composite Day"
"Fall 2018","Bus","19","Weekday",1,0,"40.4000000000","High","APC Composite Day"
"Fall 2018","Bus","21","Weekday",0,2,"341.1000000000","High","APC Composite Day"
